session_id,session_z,hits,hit_rate,n_trials,cum_deviation
20260322_165656_CD_FORMAL,1.1275,7,0.7,10,2635.0
20260322_165714_CD_FORMAL,0.68,5,0.5,10,1589.0
20260322_165731_CD_FORMAL,0.9512,4,0.4,10,2223.0
20260322_165749_CD_FORMAL,1.8092,6,0.6,10,4228.0
20260322_165806_CD_FORMAL,-1.2996,4,0.4,10,-3037.0
20260322_165824_CD_FORMAL,-0.724,4,0.4,10,-1692.0
20260322_165842_CD_FORMAL,-1.1117,3,0.3,10,-2598.0
20260322_165859_CD_FORMAL,1.1263,6,0.6,10,2632.0
20260322_165917_CD_FORMAL,1.0595,8,0.8,10,2476.0
20260322_165934_CD_FORMAL,2.2568,8,0.8,10,5274.0
20260322_165952_CD_FORMAL,-0.5469,6,0.6,10,-1278.0
20260322_170010_CD_FORMAL,-0.1977,6,0.6,10,-462.0
20260322_170031_CD_FORMAL,1.0616,7,0.7,10,2481.0
20260322_170048_CD_FORMAL,-1.5841,3,0.3,10,-3702.0
20260322_170105_CD_FORMAL,0.9354,7,0.7,10,2186.0
20260322_170122_CD_FORMAL,0.6932,6,0.6,10,1620.0
20260322_170140_CD_FORMAL,1.3304,7,0.7,10,3109.0
20260322_170157_CD_FORMAL,0.5024,5,0.5,10,1174.0
20260322_170215_CD_FORMAL,1.4404,8,0.8,10,3366.0
20260322_170232_CD_FORMAL,0.638,4,0.4,10,1491.0
20260322_170250_CD_FORMAL,-0.3479,5,0.5,10,-813.0
20260322_170307_CD_FORMAL,-1.5418,3,0.3,10,-3603.0
20260322_170325_CD_FORMAL,-0.5426,4,0.4,10,-1268.0
20260322_170342_CD_FORMAL,-1.1661,4,0.4,10,-2725.0
20260322_170400_CD_FORMAL,-0.0261,5,0.5,10,-61.0
20260322_170417_CD_FORMAL,2.0771,8,0.8,10,4854.0
20260322_170435_CD_FORMAL,-0.9435,5,0.5,10,-2205.0
20260322_170452_CD_FORMAL,0.5781,6,0.6,10,1351.0
20260322_170510_CD_FORMAL,0.0625,3,0.3,10,146.0
20260322_170527_CD_FORMAL,-0.3449,3,0.3,10,-806.0
20260322_170545_CD_FORMAL,0.2144,6,0.6,10,501.0
20260322_170603_CD_FORMAL,-0.4574,5,0.5,10,-1069.0
20260322_170621_CD_FORMAL,0.0043,5,0.5,10,10.0
20260322_170639_CD_FORMAL,0.4001,7,0.7,10,935.0
20260322_170657_CD_FORMAL,-2.5208,3,0.3,10,-5891.0
20260322_170715_CD_FORMAL,-0.8511,4,0.4,10,-1989.0
20260322_170733_CD_FORMAL,-1.8576,4,0.4,10,-4341.0
20260322_170750_CD_FORMAL,0.1759,6,0.6,10,411.0
20260322_170808_CD_FORMAL,-1.0676,4,0.4,10,-2495.0
20260322_170826_CD_FORMAL,-0.2161,5,0.5,10,-505.0
20260322_170844_CD_FORMAL,0.5011,7,0.7,10,1171.0
20260322_170902_CD_FORMAL,1.143,7,0.7,10,2671.0
20260322_170920_CD_FORMAL,0.6038,5,0.5,10,1411.0
20260322_170938_CD_FORMAL,0.7168,7,0.7,10,1675.0
20260322_170956_CD_FORMAL,1.1387,5,0.5,10,2661.0
20260322_171014_CD_FORMAL,-0.1908,5,0.5,10,-446.0
20260322_171034_CD_FORMAL,1.0664,7,0.7,10,2492.0
20260322_171104_CD_FORMAL,1.0916,5,0.5,10,2551.0
20260322_171126_CD_FORMAL,-0.7416,3,0.3,10,-1733.0
20260322_171150_CD_FORMAL,0.3701,5,0.5,10,865.0
20260322_171217_CD_FORMAL,1.3569,5,0.5,10,3171.0
20260322_171246_CD_FORMAL,-0.2696,5,0.5,10,-630.0
20260322_171309_CD_FORMAL,-0.3894,4,0.4,10,-910.0
20260322_171331_CD_FORMAL,-1.0026,5,0.5,10,-2343.0
20260322_171354_CD_FORMAL,0.3192,6,0.6,10,746.0
20260322_171427_CD_FORMAL,-0.0137,5,0.5,10,-32.0
20260322_171449_CD_FORMAL,-0.2366,5,0.5,10,-553.0
20260322_171508_CD_FORMAL,0.1164,5,0.5,10,272.0
20260322_171525_CD_FORMAL,-0.6958,5,0.5,10,-1626.0
20260322_171543_CD_FORMAL,0.8866,6,0.6,10,2072.0
20260322_171600_CD_FORMAL,-1.6376,3,0.3,10,-3827.0
20260322_171618_CD_FORMAL,0.1224,4,0.4,10,286.0
20260322_171636_CD_FORMAL,0.5024,6,0.6,10,1174.0
20260322_171653_CD_FORMAL,-0.0454,5,0.5,10,-106.0
20260322_171711_CD_FORMAL,0.7356,6,0.6,10,1719.0
20260322_171729_CD_FORMAL,0.0398,4,0.4,10,93.0
20260322_171747_CD_FORMAL,-1.2183,4,0.4,10,-2847.0
20260322_171805_CD_FORMAL,-0.7638,4,0.4,10,-1785.0
20260322_171824_CD_FORMAL,-0.6744,5,0.5,10,-1576.0
20260322_171841_CD_FORMAL,-0.4994,5,0.5,10,-1167.0
20260322_171858_CD_FORMAL,-0.0488,6,0.6,10,-114.0
20260322_171916_CD_FORMAL,-0.534,5,0.5,10,-1248.0
20260322_171934_CD_FORMAL,0.8537,6,0.6,10,1995.0
20260322_171952_CD_FORMAL,0.567,6,0.6,10,1325.0
20260322_172010_CD_FORMAL,-0.2452,5,0.5,10,-573.0
20260322_172027_CD_FORMAL,0.7839,7,0.7,10,1832.0
20260322_172045_CD_FORMAL,0.3201,6,0.6,10,748.0
20260322_172102_CD_FORMAL,1.4784,7,0.7,10,3455.0
20260322_172120_CD_FORMAL,1.0355,4,0.4,10,2420.0
20260322_172138_CD_FORMAL,1.1952,6,0.6,10,2793.0
20260322_172156_CD_FORMAL,0.772,6,0.6,10,1804.0
20260322_172214_CD_FORMAL,-1.3762,2,0.2,10,-3216.0
20260322_172232_CD_FORMAL,0.1605,4,0.4,10,375.0
20260322_172250_CD_FORMAL,-0.1891,6,0.6,10,-442.0
20260322_172308_CD_FORMAL,-0.3834,6,0.6,10,-896.0
20260322_172326_CD_FORMAL,-0.5084,3,0.3,10,-1188.0
20260322_172343_CD_FORMAL,-0.7856,4,0.4,10,-1836.0
20260322_172401_CD_FORMAL,-3.2055,2,0.2,10,-7491.0
20260322_172419_CD_FORMAL,1.2529,8,0.8,10,2928.0
20260322_172436_CD_FORMAL,-0.6243,4,0.4,10,-1459.0
20260322_172454_CD_FORMAL,1.0689,7,0.7,10,2498.0
20260322_172512_CD_FORMAL,-0.0543,7,0.7,10,-127.0
20260322_172530_CD_FORMAL,1.1224,6,0.6,10,2623.0
20260322_172548_CD_FORMAL,-0.2692,5,0.5,10,-629.0
20260322_172606_CD_FORMAL,-0.7651,3,0.3,10,-1788.0
20260322_172624_CD_FORMAL,0.5858,5,0.5,10,1369.0
20260322_172642_CD_FORMAL,0.3556,5,0.5,10,831.0
20260322_172700_CD_FORMAL,-2.1511,3,0.3,10,-5027.0
20260322_172718_CD_FORMAL,-0.6667,5,0.5,10,-1558.0
20260322_172736_CD_FORMAL,-1.8045,3,0.3,10,-4217.0
20260322_172754_CD_FORMAL,0.7844,6,0.6,10,1833.0
20260322_172812_CD_FORMAL,0.3256,6,0.6,10,761.0
20260322_172830_CD_FORMAL,-0.3834,6,0.6,10,-896.0
20260322_172848_CD_FORMAL,1.6719,7,0.7,10,3907.0
20260322_172905_CD_FORMAL,0.1973,6,0.6,10,461.0
20260322_172922_CD_FORMAL,1.7823,7,0.7,10,4165.0
20260322_172940_CD_FORMAL,-0.2674,4,0.4,10,-625.0
20260322_172957_CD_FORMAL,0.7056,5,0.5,10,1649.0
20260322_173015_CD_FORMAL,-0.1031,5,0.5,10,-241.0
20260322_173032_CD_FORMAL,0.579,5,0.5,10,1353.0
20260322_173050_CD_FORMAL,-0.113,5,0.5,10,-264.0
20260322_173107_CD_FORMAL,-0.0732,6,0.6,10,-171.0
20260322_173125_CD_FORMAL,0.4882,6,0.6,10,1141.0
20260322_173142_CD_FORMAL,1.1601,7,0.7,10,2711.0
20260322_173159_CD_FORMAL,0.4977,7,0.7,10,1163.0
20260322_173217_CD_FORMAL,0.1566,4,0.4,10,366.0
20260322_173234_CD_FORMAL,-0.5832,5,0.5,10,-1363.0
20260322_173252_CD_FORMAL,-1.309,4,0.4,10,-3059.0
20260322_173310_CD_FORMAL,-0.3821,4,0.4,10,-893.0
20260322_173327_CD_FORMAL,-0.0338,4,0.4,10,-79.0
20260322_173348_CD_FORMAL,0.1831,6,0.6,10,428.0
20260322_173405_CD_FORMAL,-0.6791,3,0.3,10,-1587.0
20260322_173423_CD_FORMAL,-1.644,4,0.4,10,-3842.0
20260322_173441_CD_FORMAL,0.03,5,0.5,10,70.0
20260322_173458_CD_FORMAL,-0.846,4,0.4,10,-1977.0
20260322_173516_CD_FORMAL,-0.4339,5,0.5,10,-1014.0
20260322_173533_CD_FORMAL,1.7176,8,0.8,10,4014.0
20260322_173551_CD_FORMAL,-0.0317,6,0.6,10,-74.0
20260322_173608_CD_FORMAL,1.5294,7,0.7,10,3574.0
20260322_173626_CD_FORMAL,1.561,8,0.8,10,3648.0
20260322_173644_CD_FORMAL,-0.6046,6,0.6,10,-1413.0
20260322_173702_CD_FORMAL,1.7069,8,0.8,10,3989.0
20260322_173720_CD_FORMAL,-0.5135,4,0.4,10,-1200.0
20260322_173738_CD_FORMAL,-0.8695,5,0.5,10,-2032.0
20260322_173756_CD_FORMAL,0.3898,6,0.6,10,911.0
20260322_173815_CD_FORMAL,1.3304,6,0.6,10,3109.0
20260322_173833_CD_FORMAL,-0.2503,6,0.6,10,-585.0
20260322_173851_CD_FORMAL,0.1964,4,0.4,10,459.0
20260322_173909_CD_FORMAL,0.3329,7,0.7,10,778.0
20260322_173927_CD_FORMAL,1.0013,7,0.7,10,2340.0
20260322_173945_CD_FORMAL,-1.3697,2,0.2,10,-3201.0
20260322_174003_CD_FORMAL,0.3637,5,0.5,10,850.0
20260322_174021_CD_FORMAL,-0.5191,4,0.4,10,-1213.0
20260322_174039_CD_FORMAL,-0.5007,4,0.4,10,-1170.0
20260322_174057_CD_FORMAL,0.027,5,0.5,10,63.0
20260322_174115_CD_FORMAL,0.3911,5,0.5,10,914.0
20260322_174133_CD_FORMAL,0.2709,5,0.5,10,633.0
20260322_174151_CD_FORMAL,0.5666,5,0.5,10,1324.0
20260322_174209_CD_FORMAL,-0.8592,3,0.3,10,-2008.0
20260322_174227_CD_FORMAL,1.1477,6,0.6,10,2682.0
20260322_174245_CD_FORMAL,1.0848,7,0.7,10,2535.0
20260322_174303_CD_FORMAL,-1.2191,4,0.4,10,-2849.0
20260322_174321_CD_FORMAL,-0.9508,3,0.3,10,-2222.0
20260322_174339_CD_FORMAL,-1.7176,2,0.2,10,-4014.0
20260322_174357_CD_FORMAL,-1.9329,1,0.1,10,-4517.0
20260322_174415_CD_FORMAL,-0.2559,6,0.6,10,-598.0
20260322_174433_CD_FORMAL,0.0103,4,0.4,10,24.0
20260322_174451_CD_FORMAL,0.6547,6,0.6,10,1530.0
20260322_174509_CD_FORMAL,2.4806,8,0.8,10,5797.0
20260322_174527_CD_FORMAL,0.4061,6,0.6,10,949.0
20260322_174545_CD_FORMAL,0.662,6,0.6,10,1547.0
20260322_174603_CD_FORMAL,-0.8438,3,0.3,10,-1972.0
20260322_174621_CD_FORMAL,-1.6184,3,0.3,10,-3782.0
20260322_174638_CD_FORMAL,0.1849,5,0.5,10,432.0
20260322_174656_CD_FORMAL,-0.0428,4,0.4,10,-100.0
20260322_174714_CD_FORMAL,-0.1896,4,0.4,10,-443.0
20260322_174733_CD_FORMAL,-1.4451,3,0.3,10,-3377.0
20260322_174751_CD_FORMAL,-0.2015,5,0.5,10,-471.0
20260322_174808_CD_FORMAL,-0.712,5,0.5,10,-1664.0
20260322_174826_CD_FORMAL,1.0159,7,0.7,10,2374.0
20260322_174844_CD_FORMAL,-0.9705,3,0.3,10,-2268.0
20260322_174902_CD_FORMAL,0.4001,6,0.6,10,935.0
20260322_174920_CD_FORMAL,0.3577,5,0.5,10,836.0
20260322_174938_CD_FORMAL,-2.2256,2,0.2,10,-5201.0
20260322_174956_CD_FORMAL,-1.7489,3,0.3,10,-4087.0
20260322_175014_CD_FORMAL,-1.3774,3,0.3,10,-3219.0
20260322_175032_CD_FORMAL,0.0385,6,0.6,10,90.0
20260322_175050_CD_FORMAL,1.0343,9,0.9,10,2417.0
20260322_175108_CD_FORMAL,0.6046,5,0.5,10,1413.0
20260322_175126_CD_FORMAL,-0.3175,5,0.5,10,-742.0
20260322_175144_CD_FORMAL,-0.5002,4,0.4,10,-1169.0
20260322_175202_CD_FORMAL,-0.4904,5,0.5,10,-1146.0
20260322_175220_CD_FORMAL,1.2007,6,0.6,10,2806.0
20260322_175238_CD_FORMAL,-0.4998,4,0.4,10,-1168.0
20260322_175256_CD_FORMAL,0.9705,6,0.6,10,2268.0
20260322_175313_CD_FORMAL,0.9872,4,0.4,10,2307.0
20260322_175331_CD_FORMAL,-0.071,5,0.5,10,-166.0
20260322_175349_CD_FORMAL,0.1434,5,0.5,10,335.0
20260322_175407_CD_FORMAL,-0.546,5,0.5,10,-1276.0
20260322_175424_CD_FORMAL,1.4309,5,0.5,10,3344.0
20260322_175441_CD_FORMAL,0.3543,4,0.4,10,828.0
20260322_175458_CD_FORMAL,-1.4729,2,0.2,10,-3442.0
20260322_175516_CD_FORMAL,-1.4583,2,0.2,10,-3408.0
20260322_175534_CD_FORMAL,1.9958,6,0.6,10,4664.0
20260322_175552_CD_FORMAL,-1.2238,3,0.3,10,-2860.0
20260322_175610_CD_FORMAL,0.5631,5,0.5,10,1316.0
20260322_175628_CD_FORMAL,0.4882,6,0.6,10,1141.0
20260322_175646_CD_FORMAL,-0.3154,5,0.5,10,-737.0
20260322_175704_CD_FORMAL,0.0475,4,0.4,10,111.0
20260322_175721_CD_FORMAL,-0.4891,3,0.3,10,-1143.0
20260322_175738_CD_FORMAL,-1.4836,3,0.3,10,-3467.0
20260322_175756_CD_FORMAL,0.3081,6,0.6,10,720.0
20260322_175813_CD_FORMAL,0.166,5,0.5,10,388.0
20260322_175831_CD_FORMAL,-0.6025,5,0.5,10,-1408.0
20260322_175849_CD_FORMAL,0.172,5,0.5,10,402.0
20260322_175906_CD_FORMAL,3.2958,8,0.8,10,7702.0
20260322_175923_CD_FORMAL,-0.0073,5,0.5,10,-17.0
20260322_175941_CD_FORMAL,0.5914,5,0.5,10,1382.0
20260322_175959_CD_FORMAL,-1.7052,4,0.4,10,-3985.0
20260322_180016_CD_FORMAL,0.84,7,0.7,10,1963.0
20260322_180034_CD_FORMAL,-0.3744,5,0.5,10,-875.0
20260322_180051_CD_FORMAL,-1.08,3,0.3,10,-2524.0
20260322_180109_CD_FORMAL,0.3085,7,0.7,10,721.0
20260322_180127_CD_FORMAL,-2.0968,2,0.2,10,-4900.0
20260322_180144_CD_FORMAL,0.3226,6,0.6,10,754.0
20260322_180202_CD_FORMAL,1.0236,5,0.5,10,2392.0
20260322_180220_CD_FORMAL,0.0334,5,0.5,10,78.0
20260322_180238_CD_FORMAL,-0.3115,4,0.4,10,-728.0
20260322_180255_CD_FORMAL,-0.3539,4,0.4,10,-827.0
20260322_180312_CD_FORMAL,-1.27,2,0.2,10,-2968.0
20260322_180330_CD_FORMAL,0.6068,5,0.5,10,1418.0
20260322_180348_CD_FORMAL,-0.7048,5,0.5,10,-1647.0
20260322_180406_CD_FORMAL,-2.1494,3,0.3,10,-5023.0
20260322_180423_CD_FORMAL,-0.1515,5,0.5,10,-354.0
20260322_180442_CD_FORMAL,0.54,6,0.6,10,1262.0
20260322_180459_CD_FORMAL,0.2007,6,0.6,10,469.0
20260322_180517_CD_FORMAL,0.5832,5,0.5,10,1363.0
20260322_180535_CD_FORMAL,0.6757,6,0.6,10,1579.0
20260322_180552_CD_FORMAL,2.1473,6,0.6,10,5018.0
20260322_180610_CD_FORMAL,-0.8301,4,0.4,10,-1940.0
20260322_180628_CD_FORMAL,-0.1245,4,0.4,10,-291.0
20260322_180646_CD_FORMAL,0.0762,5,0.5,10,178.0
20260322_180703_CD_FORMAL,-0.0834,7,0.7,10,-195.0
20260322_180721_CD_FORMAL,-1.3715,3,0.3,10,-3205.0
20260322_180739_CD_FORMAL,-1.2448,4,0.4,10,-2909.0
20260322_180757_CD_FORMAL,-0.8926,4,0.4,10,-2086.0
20260322_180815_CD_FORMAL,0.5238,6,0.6,10,1224.0
20260322_180832_CD_FORMAL,-0.2409,7,0.7,10,-563.0
20260322_180850_CD_FORMAL,0.8485,7,0.7,10,1983.0
20260322_180908_CD_FORMAL,0.0569,6,0.6,10,133.0
20260322_180926_CD_FORMAL,-0.4823,4,0.4,10,-1127.0
20260322_180943_CD_FORMAL,0.9855,6,0.6,10,2303.0
20260322_181000_CD_FORMAL,-0.4253,6,0.6,10,-994.0
20260322_181018_CD_FORMAL,2.1451,8,0.8,10,5013.0
20260322_181036_CD_FORMAL,-0.3081,4,0.4,10,-720.0
20260322_181054_CD_FORMAL,0.804,7,0.7,10,1879.0
20260322_181112_CD_FORMAL,0.9033,6,0.6,10,2111.0
20260322_181131_CD_FORMAL,0.6397,6,0.6,10,1495.0
